,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
1145,Elizeu Zaleski dos Santos,Luigi Vendramini,Red,KO/TKO,Flying Knee,Welterweight
1146,Livinha Souza,Alex Chambers,Red,SUB,Guillotine Choke,Women's Strawweight
1147,Mark Hunt,Aleksei Oleinik,Blue,SUB,Rear Naked Choke,Heavyweight
1148,Jan Blachowicz,Nikita Krylov,Red,SUB,Arm Triangle,Light Heavyweight
1149,Andrei Arlovski,Shamil Abdurakhimov,Blue,U-DEC,,Heavyweight
1150,Aleksei Kunchenko,Thiago Alves,Red,U-DEC,,Welterweight
1151,Khalid Murtazaliev,CB Dollaway,Red,KO/TKO,Punches,Middleweight
1152,Petr Yan,Jin Soo Son,Red,U-DEC,,Bantamweight
1153,Rustam Khabilov,Kajan Johnson,Red,S-DEC,,Lightweight
1154,Mairbek Taisumov,Desmond Green,Red,U-DEC,,Lightweight
1155,Magomed Ankalaev,Marcin Prachnio,Red,KO/TKO,Kick,Light Heavyweight
1156,Adam Yandiev,Jordan Johnson,Blue,SUB,Arm Triangle,Middleweight
1157,Ramazan Emeev,Stefan Sekulic,Red,U-DEC,,Welterweight
1158,Merab Dvalishvili,Terrion Ware,Red,U-DEC,,Bantamweight
1159,Tyron Woodley,Darren Till,Red,SUB,D'Arce Choke,Welterweight
1160,Jessica Andrade,Karolina Kowalkiewicz,Red,KO/TKO,Punch,Women's Strawweight
1161,Zabit Magomedsharipov,Brandon Davis,Red,SUB,Kneebar,Featherweight
1162,Jimmie Rivera,John Dodson,Red,U-DEC,,Bantamweight
1163,Abdul Razak Alhassan,Niko Price,Red,KO/TKO,Punches,Welterweight
1164,Carla Esparza,Tatiana Suarez,Blue,KO/TKO,Punches,Women's Strawweight
1165,Aljamain Sterling,Cody Stamann,Red,SUB,Kneebar,Bantamweight
1166,Geoff Neal,Frank Camacho,Red,KO/TKO,Kick,Welterweight
1167,Charles Byrd,Darren Stewart,Blue,KO/TKO,Elbow,Middleweight
1168,Diego Sanchez,Craig White,Red,U-DEC,,Welterweight
1169,Jim Miller,Alex White,Red,SUB,Rear Naked Choke,Lightweight
1170,Irene Aldana,Lucie Pudilova,Red,S-DEC,,Women's Bantamweight
1171,Roberto Sanchez,Jarred Brooks,Blue,,,Flyweight
1172,Justin Gaethje,James Vick,Red,KO/TKO,Punch,Lightweight
1173,Michael Johnson,Andre Fili,Red,S-DEC,,Featherweight
1174,Cortney Casey,Angela Hill,Red,S-DEC,,Women's Strawweight
1175,Jake Ellenberger,Bryan Barberena,Blue,KO/TKO,Punch,Welterweight
1176,John Moraga,Deiveson Figueiredo,Blue,KO/TKO,Punch,Flyweight
1177,Eryk Anders,Tim Williams,Red,KO/TKO,Kick,Middleweight
1178,James Krause,Warlley Alves,Red,KO/TKO,Flying Knee,Welterweight
1179,Cory Sandhagen,Iuri Alcantara,Red,KO/TKO,Punches,Bantamweight
1180,Andrew Sanchez,Markus Perez,Red,U-DEC,,Middleweight
1181,Mickey Gall,George Sullivan,Red,SUB,Rear Naked Choke,Welterweight
1182,Joanne Calderwood,Kalindra Faria,Red,SUB,Armbar,Women's Flyweight
1183,Drew Dober,Jon Tuck,Red,U-DEC,,Lightweight
1184,Rani Yahya,Luke Sanders,Red,SUB,Heel Hook,Bantamweight
1185,TJ Dillashaw,Cody Garbrandt,Red,KO/TKO,Punches,Bantamweight
1186,Demetrious Johnson,Henry Cejudo,Blue,S-DEC,,Flyweight
1187,Cub Swanson,Renato Moicano,Blue,SUB,Rear Naked Choke,Featherweight
1188,Polyana Viana,JJ Aldrich,Blue,U-DEC,,Women's Strawweight
1189,Thiago Santos,Kevin Holland,Red,U-DEC,,Middleweight
1190,Pedro Munhoz,Brett Johns,Red,U-DEC,,Bantamweight
1191,Ricky Simon,Montel Jackson,Red,U-DEC,,Bantamweight
1192,Ricardo Ramos,Kyung Ho Kang,Red,S-DEC,,Bantamweight
1193,Matt Sayles,Sheymon Moraes,Blue,U-DEC,,Featherweight
1194,Alex Perez,Jose Torres,Red,KO/TKO,Punches,Flyweight
1195,Danielle Taylor,Weili Zhang,Blue,U-DEC,,Women's Strawweight
1196,Marlon Vera,Wuliji Buren,Red,KO/TKO,Punch,Bantamweight
1197,Eddie Alvarez,Dustin Poirier,Blue,KO/TKO,Punches,Lightweight
1198,Jose Aldo,Jeremy Stephens,Red,KO/TKO,Punches,Featherweight
1199,Joanna Jedrzejczyk,Tecia Torres,Red,U-DEC,,Women's Strawweight
1200,Alexander Hernandez,Olivier Aubin-Mercier,Red,U-DEC,,Lightweight
1201,Jordan Mein,Alex Morono,Red,U-DEC,,Welterweight
1202,Hakeem Dawodu,Austin Arnett,Red,U-DEC,,Featherweight
1203,Kajan Johnson,Islam Makhachev,Blue,SUB,Armbar,Lightweight
1204,Gadzhimurad Antigulov,Ion Cutelaba,Blue,KO/TKO,Elbows,Light Heavyweight
1205,John Makdessi,Ross Pearson,Red,U-DEC,,Lightweight
1206,Alexis Davis,Katlyn Chookagian,Blue,U-DEC,,Women's Flyweight
1207,Dustin Ortiz,Matheus Nicolau,Red,,,Flyweight
1208,Randa Markos,Nina Ansaroff,Blue,U-DEC,,Women's Strawweight
1209,Devin Powell,Alvaro Herrera,Red,,,Lightweight
1210,Mauricio Rua,Anthony Smith,Blue,KO/TKO,Punches,Light Heavyweight
1211,Glover Teixeira,Corey Anderson,Blue,U-DEC,,Light Heavyweight
1212,Vitor Miranda,Abu Azaitar,Blue,U-DEC,,Middleweight
1213,Marcin Tybura,Stefan Struve,Red,U-DEC,,Heavyweight
1214,Danny Roberts,David Zawada,Red,S-DEC,,Welterweight
1215,Nasrat Haqparast,Marc Diakiese,Red,U-DEC,,Lightweight
1216,Nick Hein,Damir Hadzovic,Blue,S-DEC,,Lightweight
1217,Emil Meek,Bartosz Fabinski,Blue,U-DEC,,Welterweight
1218,Khalid Taha,Nad Narimani,Blue,U-DEC,,Featherweight
1219,Justin Ledet,Aleksandar Rakic,Blue,U-DEC,,Light Heavyweight
1220,Davey Grant,Manny Bermudez,Blue,SUB,Triangle Choke,Bantamweight
1221,Jeremy Kimball,Darko Stosic,Blue,KO/TKO,Elbows,Light Heavyweight
1222,Damian Stasiak,Liu Pingyuan,Blue,U-DEC,,Bantamweight
1223,Junior Dos Santos,Blagoy Ivanov,Red,U-DEC,,Heavyweight
1224,Sage Northcutt,Zak Ottow,Red,KO/TKO,Punch,Welterweight
1225,Dennis Bermudez,Rick Glenn,Blue,S-DEC,,Featherweight
1226,Randy Brown,Niko Price,Blue,KO/TKO,Punch,Welterweight
1227,Myles Jury,Chad Mendes,Blue,KO/TKO,Punch,Featherweight
1228,Cat Zingano,Marion Reneau,Red,U-DEC,,Women's Bantamweight
1229,Eddie Wineland,Alejandro Perez,Blue,U-DEC,,Bantamweight
1230,Darren Elkins,Alexander Volkanovski,Blue,U-DEC,,Featherweight
1231,Justin Scoggins,Said Nurmagomedov,Blue,S-DEC,,Flyweight
1232,Kurt Holobaugh,Raoni Barcelos,Blue,KO/TKO,Punch,Featherweight
1233,Liz Carmouche,Jennifer Maia,Red,U-DEC,,Women's Flyweight
1234,Mark De La Rosa,Elias Garcia,Red,SUB,Rear Naked Choke,Flyweight
1235,Jessica Aguilar,Jodie Esquibel,Red,U-DEC,,Women's Strawweight
1236,Stipe Miocic,Daniel Cormier,Blue,KO/TKO,Punches,Heavyweight
1237,Francis Ngannou,Derrick Lewis,Blue,U-DEC,,Heavyweight
1238,Paul Felder,Mike Perry,Blue,S-DEC,,Welterweight
1239,Michael Chiesa,Anthony Pettis,Blue,SUB,Triangle Choke,Lightweight
1240,Gokhan Saki,Khalil Rountree Jr.,Blue,KO/TKO,Punches,Light Heavyweight
1241,Uriah Hall,Paulo Costa,Blue,KO/TKO,Punches,Middleweight
1242,Raphael Assuncao,Rob Font,Red,U-DEC,,Bantamweight
1243,Lando Vannata,Drakkar Klose,Blue,U-DEC,,Lightweight
1244,Curtis Millender,Max Griffin,Red,U-DEC,,Welterweight
1245,Dan Hooker,Gilbert Burns,Red,KO/TKO,Punches,Lightweight
1246,Jamie Moyle,Emily Whitmire,Blue,U-DEC,,Women's Strawweight
1247,Brad Tavares,Israel Adesanya,Blue,U-DEC,,Middleweight
1248,Michael Trizano,Joe Giannetti,Red,S-DEC,,Lightweight
1249,Jay Cucciniello,Brad Katona,Blue,U-DEC,,Featherweight
1250,Alex Caceres,Martin Bravo,Red,S-DEC,,Featherweight
1251,Roxanne Modafferi,Barb Honchak,Red,KO/TKO,Elbows,Women's Flyweight
1252,Alessio Di Chirico,Julian Marquez,Red,S-DEC,,Middleweight
1253,Montana De La Rosa,Rachael Ostovich,Red,SUB,Rear Naked Choke,Women's Flyweight
1254,Luis Pena,Richie Smullen,Red,SUB,Guillotine Choke,Lightweight
1255,John Gunther,Allan Zuniga,Red,M-DEC,,Lightweight
1256,Tyler Diamond,Bryce Mitchell,Blue,M-DEC,,Featherweight
1257,Matt Bessette,Steven Peterson,Blue,S-DEC,,Featherweight
1258,Gerald Meerschaert,Oskar Piechota,Red,SUB,Rear Naked Choke,Middleweight
1259,Donald Cerrone,Leon Edwards,Blue,U-DEC,,Welterweight
1260,Ovince Saint Preux,Tyson Pedro,Red,SUB,Armbar,Light Heavyweight
1261,Jessica-Rose Clark,Jessica Eye,Blue,U-DEC,,Women's Flyweight
1262,Li Jingliang,Daichi Abe,Red,,,Welterweight
1263,Teruto Ishihara,Petr Yan,Blue,KO/TKO,Punch,Bantamweight
1264,Felipe Arantes,Song Yadong,Blue,KO/TKO,Elbow,Bantamweight
1265,Rolando Dy,Shane Young,Blue,KO/TKO,Elbow,Featherweight
1266,Song Kenan,Hector Aldana,Red,,,Welterweight
1267,Shinsho Anzai,Jake Matthews,Blue,SUB,Rear Naked Choke,Welterweight
1268,Viviane Pereira,Yan Xiaonan,Blue,,,Women's Strawweight
1269,Matt Schnell,Naoki Inoue,Red,S-DEC,,Flyweight
1270,Jenel Lausa,Ulka Sasaki,Blue,,,Flyweight
1271,Ji Yeon Kim,Melinda Fabian,Red,S-DEC,,Women's Flyweight
1272,Robert Whittaker,Yoel Romero,Red,S-DEC,,Middleweight
1273,Rafael Dos Anjos,Colby Covington,Blue,U-DEC,,Welterweight
1274,Holly Holm,Megan Anderson,Red,U-DEC,,Women's Featherweight
1275,Andrei Arlovski,Tai Tuivasa,Blue,U-DEC,,Heavyweight
1276,CM Punk,Mike Jackson,Blue,U-DEC,,Welterweight
1277,Alistair Overeem,Curtis Blaydes,Blue,KO/TKO,Elbows,Heavyweight
1278,Claudia Gadelha,Carla Esparza,Red,S-DEC,,Women's Strawweight
1279,Ricardo Lamas,Mirsad Bektic,Blue,S-DEC,,Featherweight
1280,Rashad Coulter,Chris de la Rocha,Blue,KO/TKO,Punches,Heavyweight
1281,Rashad Evans,Anthony Smith,Blue,KO/TKO,Knee,Light Heavyweight
1282,Joseph Benavidez,Sergio Pettis,Blue,S-DEC,,Flyweight
1283,Clay Guida,Charles Oliveira,Blue,SUB,Guillotine Choke,Lightweight
1284,Mike Santiago,Dan Ige,Blue,KO/TKO,Punches,Featherweight
1285,Jimmie Rivera,Marlon Moraes,Blue,KO/TKO,Kick,Bantamweight
1286,Gregor Gillespie,Vinc Pichel,Red,SUB,Arm Triangle,Lightweight
1287,Walt Harris,Daniel Spitz,Red,KO/TKO,Punches,Heavyweight
1288,Jake Ellenberger,Ben Saunders,Blue,KO/TKO,Knee,Welterweight
1289,Julio Arce,Daniel Teymur,Red,SUB,Rear Naked Choke,Featherweight
1290,Gian Villante,Sam Alvey,Blue,S-DEC,,Light Heavyweight
1291,Sijara Eubanks,Lauren Murphy,Red,U-DEC,,Women's Flyweight
1292,Nik Lentz,David Teymur,Blue,U-DEC,,Lightweight
1293,Belal Muhammad,Chance Rencountre,Red,U-DEC,,Welterweight
1294,Desmond Green,Gleison Tibau,Red,U-DEC,,Lightweight
1295,Johnny Eduardo,Nathaniel Wood,Blue,SUB,D'Arce Choke,Bantamweight
1296,Jarred Brooks,Jose Torres,Blue,KO/TKO,Punches,Flyweight
1297,Stephen Thompson,Darren Till,Blue,U-DEC,,Welterweight
1298,Neil Magny,Craig White,Red,KO/TKO,Knee,Welterweight
1299,Arnold Allen,Mads Burnell,Red,SUB,Other - Choke,Featherweight
1300,Jason Knight,Makwan Amirkhani,Blue,S-DEC,,Featherweight
1301,Claudio Silva,Nordine Taleb,Red,SUB,Rear Naked Choke,Welterweight
1302,Eric Spicely,Darren Stewart,Blue,KO/TKO,Punch,Middleweight
1303,Daniel Kelly,Tom Breese,Blue,KO/TKO,Punch,Middleweight
1304,Lina Lansberg,Gina Mazany,Red,U-DEC,,Women's Bantamweight
1305,Bradley Scott,Carlo Pedersoli,Blue,,,Welterweight
1306,Gillian Robertson,Molly McCann,Red,SUB,Rear Naked Choke,Women's Flyweight
1307,Elias Theodorou,Trevor Smith,Red,U-DEC,,Middleweight
1308,Demian Maia,Kamaru Usman,Blue,U-DEC,,Welterweight
1309,Alexa Grasso,Tatiana Suarez,Blue,SUB,Rear Naked Choke,Women's Strawweight
1310,Jared Cannonier,Dominick Reyes,Blue,KO/TKO,Punch,Light Heavyweight
1311,Diego Rivas,Guido Cannetti,Blue,U-DEC,,Bantamweight
1312,Veronica Macedo,Andrea Lee,Blue,U-DEC,,Women's Flyweight
1313,Vicente Luque,Chad Laprise,Red,KO/TKO,Punch,Welterweight
1314,Zak Cummings,Michel Prazeres,Blue,S-DEC,,Welterweight
1315,Brandon Moreno,Alexandre Pantoja,Blue,U-DEC,,Flyweight
1316,Poliana Botelho,Syuri Kondo,Red,KO/TKO,Kick,Women's Strawweight
1317,Gabriel Benitez,Humberto Bandenay,Red,KO/TKO,Slam,Featherweight
1318,Enrique Barzola,Brandon Davis,Red,U-DEC,,Featherweight
1319,Henry Briones,Frankie Saenz,Blue,U-DEC,,Bantamweight
1320,Claudio Puelles,Felipe Silva,Red,SUB,Kneebar,Lightweight
1321,Amanda Nunes,Raquel Pennington,Red,KO/TKO,Punches,Women's Bantamweight
1322,Jacare Souza,Kelvin Gastelum,Blue,S-DEC,,Middleweight
1323,Mackenzie Dern,Amanda Cooper,Red,SUB,Rear Naked Choke,Women's Strawweight
1324,John Lineker,Brian Kelleher,Red,KO/TKO,Punch,Bantamweight
1325,Vitor Belfort,Lyoto Machida,Blue,KO/TKO,Kick,Middleweight
1326,Cezar Ferreira,Karl Roberson,Red,SUB,Arm Triangle,Middleweight
1327,Aleksei Oleinik,Junior Albini,Red,SUB,Other - Choke,Heavyweight
1328,Davi Ramos,Nick Hein,Red,SUB,Rear Naked Choke,Lightweight
1329,Elizeu Zaleski dos Santos,Sean Strickland,Red,KO/TKO,Kick,Welterweight
1330,Warlley Alves,Sultan Aliev,Red,KO/TKO,,Welterweight
1331,Thales Leites,Jack Hermansson,Blue,KO/TKO,Punches,Middleweight
1332,Alberto Mina,Ramazan Emeev,Blue,U-DEC,,Welterweight
1333,Markus Perez,James Bochnovic,Red,SUB,Rear Naked Choke,Middleweight
1334,Edson Barboza,Kevin Lee,Blue,KO/TKO,,Lightweight
1335,Frankie Edgar,Cub Swanson,Red,U-DEC,,Featherweight
1336,Justin Willis,Chase Sherman,Red,U-DEC,,Heavyweight
1337,David Branch,Thiago Santos,Red,KO/TKO,Punch,Middleweight
1338,Aljamain Sterling,Brett Johns,Red,U-DEC,,Bantamweight
1339,Jim Miller,Dan Hooker,Blue,KO/TKO,Knee,Lightweight
1340,Ryan LaFlare,Alex Garcia,Red,U-DEC,,Welterweight
1341,Merab Dvalishvili,Ricky Simon,Blue,KO/TKO,,Bantamweight
1342,Siyar Bahadurzada,Luan Chagas,Red,KO/TKO,Kick,Welterweight
1343,Corey Anderson,Patrick Cummins,Red,U-DEC,,Light Heavyweight
1344,Anthony Rocco Martin,Keita Nakamura,Red,U-DEC,,Welterweight
1345,Dustin Poirier,Justin Gaethje,Red,KO/TKO,Punch,Lightweight
1346,Carlos Condit,Alex Oliveira,Blue,SUB,Guillotine Choke,Welterweight
1347,Israel Adesanya,Marvin Vettori,Red,S-DEC,,Middleweight
1348,Michelle Waterson,Cortney Casey,Red,S-DEC,,Women's Strawweight
1349,Tim Boetsch,Antonio Carlos Junior,Blue,SUB,Rear Naked Choke,Middleweight
1350,Muslim Salikhov,Ricky Rainey,Red,KO/TKO,Punch,Welterweight
1351,Wilson Reis,John Moraga,Blue,U-DEC,,Flyweight
1352,Krzysztof Jotko,Brad Tavares,Blue,KO/TKO,Punch,Middleweight
1353,Gilbert Burns,Dan Moret,Red,KO/TKO,Punch,Lightweight
1354,Shana Dobson,Lauren Mueller,Blue,U-DEC,,Women's Flyweight
1355,Dhiego Lima,Yushin Okami,Blue,U-DEC,,Welterweight
1356,Arjan Bhullar,Adam Wieczorek,Blue,SUB,Omoplata,Heavyweight
1357,Matthew Lopez,Alejandro Perez,Blue,KO/TKO,Punches,Bantamweight
1358,Luke Sanders,Patrick Williams,Red,U-DEC,,Bantamweight
1359,Khabib Nurmagomedov,Al Iaquinta,Red,U-DEC,,Lightweight
1360,Rose Namajunas,Joanna Jedrzejczyk,Red,U-DEC,,Women's Strawweight
1361,Renato Moicano,Calvin Kattar,Red,U-DEC,,Featherweight
1362,Zabit Magomedsharipov,Kyle Bochniak,Red,U-DEC,,Featherweight
1363,Joe Lauzon,Chris Gruetzemacher,Blue,KO/TKO,,Lightweight
1364,Karolina Kowalkiewicz,Felice Herrig,Red,S-DEC,,Women's Strawweight
1365,Evan Dunham,Olivier Aubin-Mercier,Blue,KO/TKO,Knees,Lightweight
1366,Bec Rawlings,Ashlee Evans-Smith,Blue,U-DEC,,Women's Flyweight
1367,Devin Clark,Mike Rodriguez,Red,U-DEC,,Light Heavyweight
1368,Fabricio Werdum,Alexander Volkov,Blue,KO/TKO,Punch,Heavyweight
1369,Jimi Manuwa,Jan Blachowicz,Blue,U-DEC,,Light Heavyweight
1370,Tom Duquesnoy,Terrion Ware,Red,U-DEC,,Bantamweight
1371,Leon Edwards,Peter Sobotta,Red,KO/TKO,Punch,Welterweight
1372,John Phillips,Charles Byrd,Blue,SUB,Rear Naked Choke,Middleweight
1373,Danny Roberts,Oliver Enkamp,Red,KO/TKO,Punch,Welterweight
1374,Danny Henry,Hakeem Dawodu,Red,SUB,Guillotine Choke,Featherweight
1375,Paul Craig,Magomed Ankalaev,Red,SUB,Triangle Choke,Light Heavyweight
1376,Stevie Ray,Kajan Johnson,Blue,S-DEC,,Lightweight
1377,Mark Godbeer,Dmitry Sosnovskiy,Blue,SUB,Rear Naked Choke,Heavyweight
1378,Cris Cyborg,Yana Kunitskaya,Red,,,Women's Featherweight
1379,Frankie Edgar,Brian Ortega,Blue,KO/TKO,Punch,Featherweight
1380,Sean O'Malley,Andre Soukhamthath,Red,U-DEC,,Bantamweight
1381,Stefan Struve,Andrei Arlovski,Blue,U-DEC,,Heavyweight
1382,Cat Zingano,Ketlen Vieira,Blue,S-DEC,,Women's Bantamweight
1383,Ashley Yoder,Mackenzie Dern,Blue,S-DEC,,Women's Strawweight
1384,Beneil Dariush,Alexander Hernandez,Blue,KO/TKO,Punch,Lightweight
1385,John Dodson,Pedro Munhoz,Red,S-DEC,,Bantamweight
1386,CB Dollaway,Hector Lombard,Red,DQ,,Middleweight
1387,Mike Pyle,Zak Ottow,Blue,KO/TKO,Punches,Welterweight
1388,Bryan Caraway,Cody Stamann,Blue,S-DEC,,Bantamweight
1389,Jordan Johnson,Adam Milstead,Red,S-DEC,,Light Heavyweight
1390,Josh Emmett,Jeremy Stephens,Blue,KO/TKO,Punch,Featherweight
1391,Jessica Andrade,Tecia Torres,Red,U-DEC,,Women's Strawweight
1392,Ovince Saint Preux,Ilir Latifi,Blue,SUB,Guillotine Choke,Light Heavyweight
1393,Mike Perry,Max Griffin,Blue,U-DEC,,Welterweight
1394,Renan Barao,Brian Kelleher,Blue,U-DEC,,Bantamweight
1395,Sara McMann,Marion Reneau,Blue,SUB,Triangle Choke,Women's Bantamweight
1396,Maryna Moroz,Angela Hill,Blue,U-DEC,,Women's Strawweight
1397,Ben Saunders,Alan Jouban,Blue,KO/TKO,Punch,Welterweight
1398,Sam Alvey,Marcin Prachnio,Red,KO/TKO,Punch,Light Heavyweight
1399,Rani Yahya,Russell Doane,Red,SUB,Arm Triangle,Bantamweight
1400,Eric Shelton,Alex Perez,Blue,U-DEC,,Flyweight
1401,Albert Morales,Manny Bermudez,Blue,SUB,Guillotine Choke,Bantamweight
1402,Donald Cerrone,Yancy Medeiros,Red,KO/TKO,Punch,Welterweight
1403,Derrick Lewis,Marcin Tybura,Red,KO/TKO,Punch,Heavyweight
1404,James Vick,Francisco Trinaldo,Red,U-DEC,,Lightweight
1405,Thiago Alves,Curtis Millender,Blue,KO/TKO,Knee,Welterweight
1406,Steven Peterson,Brandon Davis,Blue,U-DEC,,Featherweight
1407,Sage Northcutt,Thibault Gouti,Red,U-DEC,,Lightweight
1408,Jared Gordon,Diego Ferreira,Blue,KO/TKO,Punch,Lightweight
1409,Geoff Neal,Brian Camozzi,Red,SUB,Rear Naked Choke,Welterweight
1410,Roberto Sanchez,Joby Sanchez,Red,,,Flyweight
1411,Sarah Moras,Lucie Pudilova,Blue,U-DEC,,Women's Bantamweight
1412,Joshua Burkman,Alex Morono,Blue,SUB,Guillotine Choke,Welterweight
1413,Oskar Piechota,Tim Williams,Red,KO/TKO,Punch,Middleweight
1414,Yoel Romero,Luke Rockhold,Red,KO/TKO,Punch,Middleweight
1415,Mark Hunt,Curtis Blaydes,Blue,U-DEC,,Heavyweight
1416,Tai Tuivasa,Cyril Asker,Red,KO/TKO,Elbow,Heavyweight
1417,Jake Matthews,Li Jingliang,Red,,,Welterweight
1418,Tyson Pedro,Saparbeg Safarov,Red,SUB,Kimura,Light Heavyweight
1419,Damien Brown,Dong Hyun Ma,Blue,S-DEC,,Lightweight
1420,Rob Wilkinson,Israel Adesanya,Blue,KO/TKO,Punches,Middleweight
1421,Alexander Volkanovski,Jeremy Kennedy,Red,KO/TKO,Punches,Featherweight
1422,Jussier Formiga,Ben Nguyen,Red,SUB,Rear Naked Choke,Flyweight
1423,Ross Pearson,Mizuto Hirota,Red,U-DEC,,Lightweight
1424,Teruto Ishihara,Jose Quinonez,Blue,U-DEC,,Bantamweight
1425,Luke Jumeau,Daichi Abe,Red,U-DEC,,Welterweight
1426,Lyoto Machida,Eryk Anders,Red,S-DEC,,Middleweight
1427,Valentina Shevchenko,Priscila Cachoeira,Red,SUB,Rear Naked Choke,Women's Flyweight
1428,Michel Prazeres,Desmond Green,Red,U-DEC,,Lightweight
1429,Tim Johnson,Marcelo Golm,Red,,,Heavyweight
1430,Douglas Silva de Andrade,Marlon Vera,Red,U-DEC,,Bantamweight
1431,Thiago Santos,Anthony Smith,Red,KO/TKO,Kick,Middleweight
1432,Sergio Moraes,Tim Means,Red,S-DEC,,Welterweight
1433,Alan Patrick,Damir Hadzovic,Red,U-DEC,,Lightweight
1434,Maia Stevenson,Polyana Viana,Blue,SUB,Rear Naked Choke,Women's Strawweight
1435,Iuri Alcantara,Joe Soto,Red,KO/TKO,Punches,Bantamweight
1436,Deiveson Figueiredo,Joseph Morales,Red,KO/TKO,Punches,Flyweight
1437,Jacare Souza,Derek Brunson,Red,KO/TKO,Kick,Middleweight
1438,Dennis Bermudez,Andre Fili,Blue,S-DEC,,Featherweight
1439,Jordan Rinaldi,Gregor Gillespie,Blue,KO/TKO,Punches,Lightweight
1440,Drew Dober,Frank Camacho,Red,U-DEC,,Welterweight
1441,Erik Koch,Bobby Green,Blue,U-DEC,,Lightweight
1442,Mirsad Bektic,Godofredo Pepey,Red,KO/TKO,Punch,Featherweight
1443,Katlyn Chookagian,Mara Romero Borella,Red,U-DEC,,Women's Flyweight
1444,Randa Markos,Juliana Lima,Red,U-DEC,,Women's Strawweight
1445,Justine Kish,Ji Yeon Kim,Blue,S-DEC,,Women's Flyweight
1446,Vinc Pichel,Joaquim Silva,Red,U-DEC,,Lightweight
1447,Niko Price,George Sullivan,Red,SUB,Rear Naked Choke,Welterweight
1448,Austin Arnett,Cory Sandhagen,Blue,KO/TKO,Punches,Featherweight
1449,Stipe Miocic,Francis Ngannou,Red,U-DEC,,Heavyweight
1450,Daniel Cormier,Volkan Oezdemir,Red,KO/TKO,Punches,Light Heavyweight
1451,Calvin Kattar,Shane Burgos,Red,KO/TKO,Punch,Featherweight
1452,Gian Villante,Francimar Barroso,Red,S-DEC,,Light Heavyweight
1453,Thomas Almeida,Rob Font,Blue,KO/TKO,Kick,Bantamweight
1454,Kyle Bochniak,Brandon Davis,Red,U-DEC,,Featherweight
1455,Sabah Homasi,Abdul Razak Alhassan,Blue,KO/TKO,Punch,Welterweight
1456,Dustin Ortiz,Alexandre Pantoja,Red,U-DEC,,Flyweight
1457,Dan Ige,Julio Arce,Blue,U-DEC,,Featherweight
1458,Matt Bessette,Enrique Barzola,Blue,U-DEC,,Featherweight
1459,Islam Makhachev,Gleison Tibau,Red,KO/TKO,Punch,Lightweight
1460,Jeremy Stephens,Dooho Choi,Red,KO/TKO,Punch,Featherweight
1461,Paige VanZant,Jessica-Rose Clark,Blue,U-DEC,,Women's Flyweight
1462,Kamaru Usman,Emil Meek,Red,U-DEC,,Welterweight
1463,Darren Elkins,Michael Johnson,Red,SUB,Rear Naked Choke,Featherweight
1464,James Krause,Alex White,Red,U-DEC,,Lightweight
1465,Matt Frevola,Polo Reyes,Blue,,,Lightweight
1466,Talita Bernardo,Irene Aldana,Blue,U-DEC,,Women's Bantamweight
1467,Kyung Ho Kang,Guido Cannetti,Red,SUB,Triangle Choke,Bantamweight
1468,Kalindra Faria,Jessica Eye,Blue,S-DEC,,Women's Flyweight
1469,Danielle Taylor,JJ Aldrich,Blue,U-DEC,,Women's Strawweight
1470,Mads Burnell,Mike Santiago,Red,U-DEC,,Featherweight
1471,Cris Cyborg,Holly Holm,Red,,,Women's Featherweight
1472,Khabib Nurmagomedov,Edson Barboza,Red,U-DEC,,Lightweight
1473,Dan Hooker,Marc Diakiese,Red,SUB,Guillotine Choke,Lightweight
1474,Cynthia Calvillo,Carla Esparza,Blue,U-DEC,,Women's Strawweight
1475,Carlos Condit,Neil Magny,Blue,U-DEC,,Welterweight
1476,Myles Jury,Rick Glenn,Red,U-DEC,,Featherweight
1477,Louis Smolka,Matheus Nicolau,Blue,,,Flyweight
1478,Tim Elliott,Mark De La Rosa,Red,SUB,Anaconda Choke,Bantamweight
1479,Robbie Lawler,Rafael Dos Anjos,Blue,U-DEC,,Welterweight
1480,Ricardo Lamas,Josh Emmett,Blue,KO/TKO,Punch,Featherweight
1481,Santiago Ponzinibbio,Mike Perry,Red,U-DEC,,Welterweight
1482,Glover Teixeira,Misha Cirkunov,Red,KO/TKO,Punches,Light Heavyweight
1483,Jared Cannonier,Jan Blachowicz,Blue,U-DEC,,Light Heavyweight
1484,Julian Marquez,Darren Stewart,Red,SUB,Guillotine Choke,Middleweight
1485,Chad Laprise,Galore Bofando,Red,KO/TKO,Punches,Welterweight
1486,Nordine Taleb,Danny Roberts,Red,KO/TKO,Kick,Welterweight
1487,John Makdessi,Abel Trujillo,Red,U-DEC,,Lightweight
1488,Alessio Di Chirico,Oluwale Bamgbose,Red,KO/TKO,Knee,Middleweight
1489,Jordan Mein,Erick Silva,Red,U-DEC,,Welterweight
1490,Cub Swanson,Brian Ortega,Blue,SUB,Guillotine Choke,Featherweight
1491,Jason Knight,Gabriel Benitez,Blue,U-DEC,,Featherweight
1492,Marlon Moraes,Aljamain Sterling,Red,KO/TKO,Knee,Bantamweight
1493,Scott Holtzman,Darrell Horcher,Red,U-DEC,,Lightweight
1494,Eryk Anders,Markus Perez,Red,U-DEC,,Middleweight
